# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003738.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/counts.txt" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_F_plus_R.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_WO.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_F_plus_R.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_WO.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted.bam
Tb927.8.2340	Tb927_08_v5.1	703241	703794	+	554	563	388	175	759
Tb927.8.2350	Tb927_08_v5.1	704416	705801	+	1386	479	315	164	647
Tb927.8.2360	Tb927_08_v5.1	705895	706679	+	785	210	179	31	277
Tb927.8.2370	Tb927_08_v5.1	706786	711807	+	5022	1945	1249	696	4449
Tb927.8.2380	Tb927_08_v5.1	712995	717111	+	4117	2323	1698	625	5784
Tb927.8.2390	Tb927_08_v5.1	717467	722349	+	4883	2964	2171	793	7881
Tb927.8.2395	Tb927_08_v5.1	722512	723148	+	637	63	39	24	68
Tb927.8.2400	Tb927_08_v5.1	723279	724400	+	1122	243	171	72	511
Tb927.8.2410	Tb927_08_v5.1	724694	725801	+	1108	1072	779	293	1693
Tb927.8.2420	Tb927_08_v5.1	725932	727403	+	1472	897	669	228	2323
Tb927.8.2430	Tb927_08_v5.1	727512	731503	+	3992	1666	1163	503	3821
Tb927.8.2440	Tb927_08_v5.1	731962	732913	+	952	540	349	191	717
Tb927.8.2450	Tb927_08_v5.1	733142	734793	+	1652	1095	744	351	3415
Tb927.8.2460	Tb927_08_v5.1	734906	735789	+	884	158	115	43	601
Tb927.8.2470	Tb927_08_v5.1	736651	737076	+	426	78	37	41	78
Tb927.8.2480	Tb927_08_v5.1	737509	739280	+	1772	395	318	77	915
Tb8.NT.41	Tb927_08_v5.1	739390	739601	+	212	19	13	6	19
Tb927.8.2490	Tb927_08_v5.1	739706	740872	+	1167	678	397	281	817
Tb927.8.2500	Tb927_08_v5.1	741004	741895	+	892	957	674	283	2759
Tb927.8.2510	Tb927_08_v5.1	742173	743072	+	900	865	719	146	1861
Tb927.8.2520	Tb927_08_v5.1	743167	748045	+	4879	620	509	111	1382
Tb927.8.2530	Tb927_08_v5.1	747466	748791	+	1326	101	92	9	141
Tb927.8.2540	Tb927_08_v5.1	749345	751477	+	2133	736	403	333	1436
Tb927.8.2550	Tb927_08_v5.1	751641	755569	+	3929	2189	1844	345	7625
Tb927.8.2560	Tb927_08_v5.1	755488	756437	+	950	358	327	31	1238
Tb927.8.2570	Tb927_08_v5.1	756297	758354	+	2058	1271	857	414	3661
Tb927.8.2580	Tb927_08_v5.1	758535	761843	+	3309	1442	1174	268	3446
Tb927.8.2590	Tb927_08_v5.1	762392	764086	+	1695	241	207	34	2299
Tb927.8.2600	Tb927_08_v5.1	764939	766887	+	1949	882	816	66	2397
Tb8.NT.42	Tb927_08_v5.1	767297	767521	+	225	138	132	6	2460
Tb927.8.2610	Tb927_08_v5.1	767620	770026	+	2407	460	335	125	1063
Tb927.8.2620	Tb927_08_v5.1	770837	773457	+	2621	1098	821	277	11332
Tb927.8.2630	Tb927_08_v5.1	774188	776651	+	2464	1406	980	426	2425
Tb927.8.2640	Tb927_08_v5.1	778840	782385	+	3546	1257	975	282	1982
Tb927.8.2650	Tb927_08_v5.1	783443	784773	+	1331	738	465	273	954
Tb927.8.2660	Tb927_08_v5.1	784906	791740	+	6835	2099	1777	322	5634
Tb927.8.2663	Tb927_08_v5.1	793455	793527	+	73	178	150	28	356
Tb927.8.2666	Tb927_08_v5.1	793613	793684	-	72	129	111	18	186
Tb927.8.2670	Tb927_08_v5.1	794576	795942	+	1367	221	178	43	245
Tb927.8.2680	Tb927_08_v5.1;Tb927_08_v5.1	796080;796200	798142;798142	+;+	2063	992	737	255	1645
Tb927.8.2690	Tb927_08_v5.1	798312	803188	+	4877	2558	1743	815	5163
Tb927.8.2700	Tb927_08_v5.1	803368	804088	+	721	337	216	121	661
Tb927.8.2710	Tb927_08_v5.1	804341	806699	+	2359	2602	2010	592	4468
Tb927.8.2720	Tb927_08_v5.1	806855	808193	+	1339	1356	1070	286	2106
Tb927.8.2730	Tb927_08_v5.1	808337	810316	+	1980	1031	938	93	2037
Tb927.8.2740	Tb927_08_v5.1	810416	811569	+	1154	348	328	20	2522
Tb927.8.2750	Tb927_08_v5.1	813362	815396	+	2035	381	317	64	474
Tb927.8.2760	Tb927_08_v5.1	815506	817052	+	1547	689	574	115	1690
Tb927.8.2770	Tb927_08_v5.1	817161	828121	+	10961	5594	4363	1231	17621
Tb927.8.2780	Tb927_08_v5.1	828306	830608	+	2303	184	141	43	1240
Tb927.8.2790	Tb927_08_v5.1	837609	837978	+	370	3	2	1	3
Tb927.8.2800	Tb927_08_v5.1	838351	839679	+	1329	336	278	58	589
Tb927.8.2810	Tb927_08_v5.1	839858	842576	+	2719	2218	1414	804	3909
Tb927.8.2820	Tb927_08_v5.1	842710	847057	+	4348	827	729	98	3113
Tb927.8.2830	Tb927_08_v5.1	847223	850113	+	2891	1717	1441	276	3607
Tb927.8.2840	Tb927_08_v5.1	850222	851750	+	1529	841	632	209	1048
Tb927.8.2850	Tb927_08_v5.1	851926	853813	+	1888	570	503	67	2163
Tb927.8.2851	Tb927_08_v5.1	854289	854362	-	74	25	24	1	120
Tb927.8.2852	Tb927_08_v5.1	854457	854528	+	72	14	13	1	15
Tb927.8.2853	Tb927_08_v5.1	854585	854657	+	73	16	0	16	18
Tb927.8.2854	Tb927_08_v5.1	854728	854800	+	73	32	10	22	35
Tb927.8.2855	Tb927_08_v5.1	857771	857845	-	75	155	144	11	333
Tb927.8.2856	Tb927_08_v5.1	858106	858177	+	72	138	120	18	169
Tb927.8.2857	Tb927_08_v5.1	858265	858346	+	82	19	18	1	29
Tb927.8.2858	Tb927_08_v5.1	858430	858501	-	72	63	63	0	212
Tb927.8.2859	Tb927_08_v5.1	858599	858670	+	72	180	170	10	228
Tb927.8.2861	Tb927_08_v5.1	860996	861256	-	261	256	240	16	391
Tb927.8.2862	Tb927_08_v5.1	861366	861438	+	73	9	8	1	10
Tb927.8.2863	Tb927_08_v5.1	861528	861599	-	72	8	3	5	9
Tb927.8.2864	Tb927_08_v5.1	861696	861839	+	144	84	66	18	106
Tb927.8.2860	Tb927_08_v5.1	865406	868405	-	3000	1293	980	313	2808
Tb927.8.2870	Tb927_08_v5.1	868587	870845	-	2259	1156	859	297	1362
Tb927.8.2880	Tb927_08_v5.1	871639	876199	-	4561	2349	1568	781	5714
Tb927.8.2890	Tb927_08_v5.1	877266	881560	+	4295	1122	629	493	1647
Tb927.8.2900	Tb927_08_v5.1	881054	882552	+	1499	354	284	70	581
Tb927.8.2910	Tb927_08_v5.1	882700	884542	+	1843	605	493	112	789
Tb927.8.2920	Tb927_08_v5.1	884672	886562	+	1891	612	471	141	892
Tb927.8.2930	Tb927_08_v5.1	886692	888582	+	1891	769	580	189	923
Tb927.8.2940	Tb927_08_v5.1	888712	890063	+	1352	553	454	99	957
Tb927.8.2950	Tb927_08_v5.1	890660	892135	+	1476	723	574	149	1357
Tb927.8.2960	Tb927_08_v5.1	892457	895249	+	2793	1590	1260	330	3791
Tb927.8.2970	Tb927_08_v5.1	895680	896648	+	969	28	21	7	31
Tb927.8.2980	Tb927_08_v5.1	898038	899291	+	1254	480	382	98	2257
Tb927.8.2990	Tb927_08_v5.1	899534	900554	+	1021	725	477	248	2271
Tb927.8.3000	Tb927_08_v5.1	900877	903219	+	2343	879	707	172	3659
Tb927.8.3010	Tb927_08_v5.1	903367	905676	+	2310	1407	1141	266	4447
Tb927.8.3020	Tb927_08_v5.1	907271	914486	+	7216	3829	2396	1433	6270
Tb927.8.3040	Tb927_08_v5.1	915592	916338	+	747	179	78	101	1251
Tb927.8.3050	Tb927_08_v5.1	917060	918842	+	1783	1035	738	297	1319
Tb927.8.3060	Tb927_08_v5.1	919791	921969	+	2179	342	272	70	386
Tb927.8.3070	Tb927_08_v5.1	923165	923784	+	620	50	17	33	51
Tb927.8.3080	Tb927_08_v5.1	923893	928177	+	4285	1987	1449	538	3653
Tb927.8.3090	Tb927_08_v5.1	928316	928903	+	588	529	283	246	720
Tb927.8.3100	Tb927_08_v5.1	929023	931414	+	2392	633	537	96	1508
Tb927.8.3110	Tb927_08_v5.1	932081	933421	+	1341	366	322	44	687
Tb927.8.3120	Tb927_08_v5.1	933670	934249	+	580	506	358	148	1444
Tb927.8.3130	Tb927_08_v5.1	934396	935861	+	1466	301	287	14	1598
Tb927.8.3140	Tb927_08_v5.1	936145	937388	+	1244	1145	855	290	2136
Tb927.8.3150	Tb927_08_v5.1	937529	939999	+	2471	139	122	17	158
Tb927.8.3160	Tb927_08_v5.1	940827	942770	+	1944	113	94	19	1252
Tb927.8.3170	Tb927_08_v5.1	942887	945326	+	2440	1005	773	232	1476
Tb927.8.3180	Tb927_08_v5.1	946020	950296	+	4277	2058	1425	633	3856
Tb927.8.3190	Tb927_08_v5.1	950123	951294	+	1172	1142	378	764	2976
Tb927.8.3200	Tb927_08_v5.1	952046	956786	+	4741	2223	1807	416	10810
Tb927.8.3210	Tb927_08_v5.1	957648	958463	+	816	739	548	191	937
Tb927.8.3220	Tb927_08_v5.1	958592	961483	+	2892	907	733	174	6005
Tb927.8.3230	Tb927_08_v5.1	962801	964670	+	1870	564	438	126	1393
Tb927.8.3240	Tb927_08_v5.1	965524	966752	+	1229	294	241	53	384
Tb927.8.3250	Tb927_08_v5.1	966984	981752	+	14769	573	510	63	4030
Tb927.8.3260	Tb927_08_v5.1	982183	983490	+	1308	849	470	379	1602
Tb927.8.3270	Tb927_08_v5.1	983405	984190	+	786	257	220	37	661
Tb927.8.3280	Tb927_08_v5.1	984411	985998	+	1588	645	308	337	1044
Tb927.8.3290	Tb927_08_v5.1	986144	992324	+	6181	4163	2948	1215	6701
Tb927.8.3300	Tb927_08_v5.1	992460	994554	+	2095	813	562	251	3743
Tb927.8.3310	Tb927_08_v5.1	994927	996965	+	2039	1253	1050	203	5308
Tb927.8.3320	Tb927_08_v5.1	997379	998882	+	1504	811	697	114	1317
Tb927.8.3330	Tb927_08_v5.1	999017	1000719	+	1703	680	478	202	1562
Tb927.8.3340	Tb927_08_v5.1	1000877	1002162	+	1286	274	250	24	1759
Tb927.8.3350	Tb927_08_v5.1	1003807	1007745	+	3939	1618	1374	244	2835
Tb927.8.3360	Tb927_08_v5.1	1007867	1008586	+	720	27	26	1	719
Tb927.8.3370	Tb927_08_v5.1	1008745	1009828	+	1084	362	296	66	816
Tb927.8.3380	Tb927_08_v5.1	1010068	1012000	+	1933	941	792	149	2070
Tb927.8.3390	Tb927_08_v5.1	1012116	1012992	+	877	562	444	118	770
Tb927.8.3400	Tb927_08_v5.1	1013755	1015700	+	1946	940	718	222	2176
Tb927.8.3410	Tb927_08_v5.1	1016136	1020924	+	4789	2189	1479	710	4858
Tb927.8.3420	Tb927_08_v5.1	1023591	1024401	+	811	615	533	82	2147
Tb927.8.3430	Tb927_08_v5.1	1024623	1026506	+	1884	19	13	6	68
Tb927.8.3440	Tb927_08_v5.1	1026699	1027402	+	704	27	23	4	257
Tb927.8.3450	Tb927_08_v5.1	1027645	1028213	+	569	634	434	200	3061
Tb927.8.3460	Tb927_08_v5.1	1028680	1032263	+	3584	1172	772	400	2920
Tb927.8.3470	Tb927_08_v5.1	1032399	1033518	+	1120	211	176	35	3224
Tb927.8.3480	Tb927_08_v5.1	1033628	1035616	+	1989	298	251	47	395
Tb927.8.3490	Tb927_08_v5.1	1036853	1040120	+	3268	1516	1159	357	3071
Tb927.8.3500	Tb927_08_v5.1	1040310	1043317	+	3008	996	856	140	4735
Tb927.8.3510	Tb927_08_v5.1	1043446	1044492	+	1047	423	345	78	689
Tb927.8.3520	Tb927_08_v5.1	1046889	1048728	+	1840	799	551	248	960
Tb927.8.3521	Tb927_08_v5.1	1049850	1050154	+	305	97	91	6	151
Tb927.8.3523	Tb927_08_v5.1	1053326	1053397	-	72	24	10	14	44
Tb927.8.3526	Tb927_08_v5.1	1053540	1053611	+	72	16	7	9	43
Tb927.8.3530	Tb927_08_v5.1	1057219	1058646	-	1428	248	176	72	1685
Tb927.8.3540	Tb927_08_v5.1	1058779	1062883	-	4105	2409	1545	864	4146
Tb927.8.3550	Tb927_08_v5.1	1063078	1067745	-	4668	582	522	60	1292
Tb927.8.3560	Tb927_08_v5.1	1068708	1071969	-	3262	1245	959	286	2283
Tb927.8.3570	Tb927_08_v5.1	1073820	1075990	-	2171	1269	1046	223	2575
Tb927.8.3580	Tb927_08_v5.1	1076641	1078261	-	1621	907	693	214	2611
Tb927.8.3590	Tb927_08_v5.1	1078979	1081204	-	2226	691	514	177	1936
Tb927.8.3600	Tb927_08_v5.1	1081372	1081911	-	540	74	61	13	86
Tb927.8.3610	Tb927_08_v5.1	1082670	1084035	-	1366	1526	817	709	2065
Tb927.8.3620	Tb927_08_v5.1	1084687	1087444	-	2758	1300	933	367	2858
Tb927.8.3630	Tb927_08_v5.1	1088840	1090808	-	1969	851	654	197	2413
Tb927.8.3640	Tb927_08_v5.1	1090900	1092384	-	1485	751	629	122	1464
Tb927.8.3650	Tb927_08_v5.1	1092811	1095640	-	2830	1065	853	212	3017
Tb927.8.3660	Tb927_08_v5.1	1095758	1099007	-	3250	1829	1431	398	3529
Tb927.8.3680	Tb927_08_v5.1	1099237	1102869	-	3633	1496	1108	388	3340
Tb927.8.3690	Tb927_08_v5.1	1104950	1106521	-	1572	1264	710	554	1722
Tb927.8.3700	Tb927_08_v5.1	1106333	1112017	-	5685	3503	2419	1084	7207
Tb927.8.3710	Tb927_08_v5.1	1112178	1115015	-	2838	1775	1097	678	3519
Tb927.8.3720	Tb927_08_v5.1	1114848	1116794	-	1947	735	546	189	1166
Tb927.8.3730	Tb927_08_v5.1	1117169	1118665	-	1497	453	311	142	644
Tb927.8.3740	Tb927_08_v5.1	1118415	1119755	-	1341	460	321	139	6222
Tb927.8.3750	Tb927_08_v5.1	1120048	1122401	-	2354	458	400	58	2106
Tb927.8.3770	Tb927_08_v5.1	1122334	1125656	-	3323	944	735	209	2318
Tb927.8.3780	Tb927_08_v5.1	1126319	1127296	-	978	846	583	263	1197
Tb927.8.3790	Tb927_08_v5.1	1127411	1128678	-	1268	416	338	78	895
Tb927.8.3800	Tb927_08_v5.1	1128820	1131277	-	2458	1135	933	202	3257
Tb927.8.3810	Tb927_08_v5.1	1131445	1134388	-	2944	987	721	266	6748
Tb927.8.3820	Tb927_08_v5.1	1134779	1139104	-	4326	1263	1029	234	2386
Tb927.8.3830	Tb927_08_v5.1	1139273	1142237	-	2965	1804	1243	561	4952
Tb927.8.3840	Tb927_08_v5.1	1142361	1145732	-	3372	2219	1769	450	6325
Tb927.8.3850	Tb927_08_v5.1	1147084	1150324	-	3241	519	435	84	1474
Tb927.8.3860	Tb927_08_v5.1	1150423	1151824	-	1402	235	169	66	314
Tb927.8.3870	Tb927_08_v5.1	1151890	1155753	-	3864	1170	1034	136	1682
Tb927.8.3880	Tb927_08_v5.1;Tb927_08_v5.1	1157195;1157195	1158440;1159616	-;-	2422	627	479	148	2047
Tb927.8.3890	Tb927_08_v5.1	1159755	1162242	-	2488	783	640	143	2427
Tb927.8.3900	Tb927_08_v5.1	1162882	1164214	-	1333	711	635	76	1773
Tb927.8.3910	Tb927_08_v5.1	1164485	1165531	-	1047	415	278	137	880
Tb927.8.3920	Tb927_08_v5.1	1165659	1168666	-	3008	663	544	119	2725
Tb927.8.3930	Tb927_08_v5.1	1168776	1172000	-	3225	959	771	188	3267
Tb927.8.3940	Tb927_08_v5.1	1176781	1180114	-	3334	765	493	272	3102
Tb927.8.3950	Tb927_08_v5.1	1180246	1183025	-	2780	2577	1714	863	5538
Tb927.8.3960	Tb927_08_v5.1	1183149	1185347	-	2199	691	637	54	1757
Tb927.8.3970	Tb927_08_v5.1	1185389	1187153	-	1765	1167	648	519	1414
Tb927.8.3980	Tb927_08_v5.1	1187352	1190098	-	2747	1896	1633	263	4916
Tb927.8.3990	Tb927_08_v5.1	1190781	1191683	-	903	315	271	44	396
Tb927.8.4000	Tb927_08_v5.1;Tb927_08_v5.1	1191784;1191784	1193399;1194399	-;-	2616	940	617	323	1912
Tb927.8.4010	Tb927_08_v5.1	1196773	1198570	-	1798	1011	736	275	2403
Tb927.8.4020	Tb927_08_v5.1	1198726	1199587	-	862	458	393	65	850
Tb927.8.4030	Tb927_08_v5.1	1199747	1200400	-	654	285	229	56	386
Tb927.8.4040	Tb927_08_v5.1	1200841	1202506	-	1666	725	618	107	1044
Tb927.8.4050	Tb927_08_v5.1	1202658	1205703	-	3046	1865	1449	416	3941
Tb927.8.4060	Tb927_08_v5.1	1205897	1208187	-	2291	632	547	85	1639
Tb927.8.4070	Tb927_08_v5.1	1208344	1209205	-	862	300	262	38	594
Tb927.8.4080	Tb927_08_v5.1	1209317	1210018	-	702	213	165	48	264
Tb927.8.4090	Tb927_08_v5.1	1210209	1212124	-	1916	950	841	109	4752
Tb927.8.4100	Tb927_08_v5.1	1212951	1215321	-	2371	1358	1059	299	3022
Tb927.8.4110	Tb927_08_v5.1	1215515	1217803	-	2289	561	496	65	1370
Tb927.8.4120	Tb927_08_v5.1	1217959	1218820	-	862	460	415	45	899
Tb927.8.4130	Tb927_08_v5.1	1218980	1219630	-	651	82	76	6	139
Tb927.8.4140	Tb927_08_v5.1	1219773	1221084	-	1312	340	254	86	1532
Tb927.8.4150	Tb927_08_v5.1	1221538	1222900	-	1363	671	541	130	2087
Tb927.8.4160	Tb927_08_v5.1	1223054	1227104	-	4051	5232	3383	1849	8665
Tb927.8.4170	Tb927_08_v5.1	1227252	1230271	-	3020	460	291	169	830
Tb927.8.4175	Tb927_08_v5.1	1230371	1231148	-	778	630	414	216	1115
Tb927.8.4180	Tb927_08_v5.1	1231300	1232063	-	764	286	269	17	1136
Tb927.8.4190	Tb927_08_v5.1	1232612	1236099	-	3488	384	346	38	1524
Tb927.8.4200	Tb927_08_v5.1	1238448	1245924	-	7477	1639	1351	288	5326
Tb927.8.4210	Tb927_08_v5.1	1248877	1250284	-	1408	489	389	100	695
Tb927.8.4220	Tb927_08_v5.1	1250473	1251983	-	1511	414	297	117	483
Tb927.8.4230	Tb927_08_v5.1	1252160	1256357	-	4198	1967	1715	252	11042
Tb927.8.4240	Tb927_08_v5.1	1257778	1262923	-	5146	3704	2571	1133	5993
Tb927.8.4250	Tb927_08_v5.1	1263258	1264876	-	1619	660	478	182	3073
Tb927.8.4260	Tb927_08_v5.1	1266035	1268949	-	2915	1596	1154	442	3500
Tb927.8.4270	Tb927_08_v5.1	1269407	1271602	-	2196	1175	986	189	8253
Tb927.8.4280	Tb927_08_v5.1	1271779	1272890	-	1112	227	213	14	309
Tb927.8.4290	Tb927_08_v5.1	1272830	1274243	-	1414	595	506	89	936
Tb927.8.4300	Tb927_08_v5.1	1274460	1276319	-	1860	674	534	140	29648
Tb927.8.4310	Tb927_08_v5.1	1276524	1279028	-	2505	899	742	157	3696
Tb927.8.4320	Tb927_08_v5.1	1279760	1284377	-	4618	1062	971	91	3262
Tb927.8.4330	Tb927_08_v5.1	1285612	1287577	-	1966	203	145	58	792
Tb927.8.4340	Tb927_08_v5.1	1287470	1290048	-	2579	662	617	45	2572
Tb927.8.4350	Tb927_08_v5.1	1291050	1294230	-	3181	2789	2204	585	5828
Tb927.8.4360	Tb927_08_v5.1	1296185	1300670	-	4486	1428	1244	184	5385
Tb927.8.4370	Tb927_08_v5.1	1302405	1305188	-	2784	2225	1853	372	5491
Tb927.8.4380	Tb927_08_v5.1	1306377	1306784	-	408	30	22	8	66
Tb927.8.4390	Tb927_08_v5.1	1306914	1308814	-	1901	1608	1191	417	3153
Tb927.8.4400	Tb927_08_v5.1	1309018	1311544	-	2527	1303	846	457	2642
Tb927.8.4410	Tb927_08_v5.1	1311690	1313361	-	1672	893	756	137	2243
Tb927.8.4420	Tb927_08_v5.1	1314334	1314901	-	568	176	142	34	2109
Tb927.8.4430	Tb927_08_v5.1	1315354	1316529	-	1176	502	433	69	654
Tb927.8.4440	Tb927_08_v5.1	1317567	1318945	-	1379	307	251	56	572
Tb927.8.4450	Tb927_08_v5.1	1319116	1320885	-	1770	1921	1682	239	5074
Tb927.8.4460	Tb927_08_v5.1	1321193	1324411	-	3219	1770	1329	441	6662
Tb927.8.4470	Tb927_08_v5.1;Tb927_08_v5.1	1324654;1324654	1325332;1325414	-;-	761	623	412	211	2788
Tb927.8.4480	Tb927_08_v5.1	1325629	1326793	-	1165	471	313	158	849
Tb927.8.4490	Tb927_08_v5.1	1327356	1328630	-	1275	53	49	4	66
Tb927.8.4500	Tb927_08_v5.1	1328765	1334535	-	5771	1279	1133	146	2558
Tb927.8.4510	Tb927_08_v5.1	1334676	1337572	-	2897	1031	933	98	2758
Tb927.8.4520	Tb927_08_v5.1	1338497	1339298	-	802	310	215	95	844
Tb927.8.4530	Tb927_08_v5.1	1339404	1341108	-	1705	757	693	64	1428
Tb927.8.4540	Tb927_08_v5.1	1346345	1349172	-	2828	701	632	69	1604
Tb927.8.4550	Tb927_08_v5.1	1349440	1350114	-	675	269	242	27	966
Tb927.8.4560	Tb927_08_v5.1	1351074	1354860	-	3787	779	497	282	1047
Tb927.8.4570	Tb927_08_v5.1	1355017	1356795	-	1779	1640	1282	358	4246
Tb927.8.4580	Tb927_08_v5.1	1357004	1359085	-	2082	121	78	43	291
Tb927.8.4590	Tb927_08_v5.1	1358963	1360104	-	1142	373	260	113	430
Tb927.8.4600	Tb927_08_v5.1	1360215	1362017	-	1803	642	476	166	2055
Tb927.8.4610	Tb927_08_v5.1	1362138	1363454	-	1317	92	69	23	305
Tb927.8.4620	Tb927_08_v5.1	1364444	1365387	-	944	151	114	37	177
Tb927.8.4630	Tb927_08_v5.1	1365595	1366202	-	608	66	52	14	75
Tb927.8.4640	Tb927_08_v5.1	1366318	1367885	-	1568	736	521	215	1088
Tb927.8.4650	Tb927_08_v5.1	1367995	1368649	-	655	252	178	74	352
Tb927.8.4660	Tb927_08_v5.1	1368846	1372047	-	3202	680	569	111	1175
Tb927.8.4670	Tb927_08_v5.1	1372419	1374172	-	1754	807	694	113	1813
Tb927.8.4680	Tb927_08_v5.1	1374306	1375582	-	1277	972	647	325	1910
Tb927.8.4690	Tb927_08_v5.1	1375776	1376948	-	1173	818	662	156	1633
Tb927.8.4695	Tb927_08_v5.1	1377090	1377526	-	437	148	107	41	383
Tb927.8.4700	Tb927_08_v5.1	1378393	1381585	-	3193	2680	2219	461	4693
Tb927.8.4710	Tb927_08_v5.1	1383120	1384566	-	1447	1760	1389	371	2580
Tb927.8.4720	Tb927_08_v5.1	1384711	1387549	-	2839	2757	2157	600	3785
Tb927.8.4730	Tb927_08_v5.1	1387684	1390532	-	2849	2616	2003	613	3642
Tb927.8.4740	Tb927_08_v5.1	1390667	1393514	-	2848	3093	2456	637	4285
Tb927.8.4750	Tb927_08_v5.1	1393649	1396213	-	2565	1343	1055	288	2252
Tb927.8.4760	Tb927_08_v5.1;Tb927_08_v5.1	1396417;1396417	1397156;1398072	-;-	1656	523	301	222	1587
Tb927.8.4770	Tb927_08_v5.1	1403343	1404288	-	946	468	354	114	906
Tb927.8.4780	Tb927_08_v5.1	1404852	1417416	-	12565	1021	899	122	10936
Tb927.8.4790	Tb927_08_v5.1	1417546	1418959	-	1414	105	52	53	110
Tb927.8.4800	Tb927_08_v5.1	1419244	1420505	-	1262	328	271	57	927
Tb927.8.4810	Tb927_08_v5.1	1420688	1421813	-	1126	187	123	64	233
Tb927.8.4820	Tb927_08_v5.1	1421915	1424477	-	2563	267	245	22	725
Tb927.8.4830	Tb927_08_v5.1	1424810	1425646	-	837	118	102	16	1420
Tb927.8.4840	Tb927_08_v5.1	1425784	1429488	-	3705	711	630	81	1812
Tb927.8.4850	Tb927_08_v5.1	1429657	1430756	-	1100	671	547	124	937
Tb927.8.4860	Tb927_08_v5.1	1430923	1433034	-	2112	1207	977	230	1796
Tb927.8.4870	Tb927_08_v5.1	1433185	1437153	-	3969	515	420	95	866
Tb927.8.4880	Tb927_08_v5.1	1437486	1441527	-	4042	2105	1410	695	3269
Tb927.8.4890	Tb927_08_v5.1	1441654	1443256	-	1603	509	339	170	1137
Tb927.8.4895	Tb927_08_v5.1	1450508	1451928	+	1421	97	81	16	113
Tb927.8.4900	Tb927_08_v5.1	1451476	1455473	+	3998	1000	823	177	3078
Tb927.8.4910	Tb927_08_v5.1	1455605	1456104	+	500	398	273	125	696
Tb927.8.4920	Tb927_08_v5.1	1456263	1458674	+	2412	658	497	161	1260
Tb927.8.4930	Tb927_08_v5.1	1458866	1460096	+	1231	725	613	112	991
Tb927.8.4940	Tb927_08_v5.1	1460323	1462238	+	1916	839	532	307	1362
Tb927.8.4950	Tb927_08_v5.1	1463261	1467903	+	4643	1726	1054	672	4925
Tb927.8.4960	Tb927_08_v5.1	1469613	1474602	+	4990	1339	1111	228	3770
Tb927.8.4970	Tb927_08_v5.1	1474765	1476763	+	1999	15	6	9	33
Tb927.8.4980	Tb927_08_v5.1	1476908	1478917	+	2010	8	2	6	22
Tb927.8.4990	Tb927_08_v5.1	1479062	1480928	+	1867	12	7	5	32
Tb927.8.5000	Tb927_08_v5.1	1481216	1483225	+	2010	9	4	5	25
Tb927.8.5010	Tb927_08_v5.1	1483370	1485373	+	2004	10	3	7	42
Tb927.8.5020	Tb927_08_v5.1	1486226	1488214	+	1989	511	342	169	4893
Tb927.8.5030	Tb927_08_v5.1	1488323	1488988	+	666	294	216	78	332
Tb927.8.5040	Tb927_08_v5.1	1489391	1490840	+	1450	415	336	79	794
Tb927.8.5050	Tb927_08_v5.1	1491031	1495547	+	4517	1755	1247	508	6129
Tb927.8.5060	Tb927_08_v5.1	1495866	1496635	+	770	252	189	63	279
Tb927.8.5070	Tb927_08_v5.1	1497502	1498602	+	1101	278	184	94	398
Tb927.8.5080	Tb927_08_v5.1	1498702	1502336	+	3635	1697	1294	403	5314
Tb927.8.5090	Tb927_08_v5.1	1502444	1508604	+	6161	1528	1305	223	4444
Tb927.8.5100	Tb927_08_v5.1	1508989	1517783	+	8795	2636	1972	664	9263
Tb927.8.5110	Tb927_08_v5.1	1518170	1524300	+	6131	2100	1670	430	6100
Tb927.8.5120	Tb927_08_v5.1	1526913	1528646	+	1734	180	163	17	1915
Tb927.8.5130	Tb927_08_v5.1	1529446	1531424	+	1979	598	400	198	800
Tb927.8.5140	Tb927_08_v5.1	1531814	1534527	+	2714	1226	904	322	1694
Tb927.8.5150	Tb927_08_v5.1	1534976	1535405	+	430	322	298	24	460
Tb927.8.5160	Tb927_08_v5.1	1535905	1541508	+	5604	2007	1526	481	6291
Tb927.8.5170	Tb927_08_v5.1	1541687	1546096	+	4410	5505	3708	1797	9975
Tb927.8.5180	Tb927_08_v5.1	1546221	1547088	+	868	391	229	162	692
Tb927.8.5190	Tb927_08_v5.1	1547169	1548699	+	1531	394	375	19	1133
Tb927.8.5200	Tb927_08_v5.1	1549441	1555421	+	5981	909	815	94	3152
Tb927.8.5210	Tb927_08_v5.1	1555578	1559174	+	3597	1917	1343	574	4110
